# LAMMPS data file written by OVITO Basic 3.9.4

3864 atoms
4 atom types

0.0 130.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

359 1 0.0 53.5783663769 17.7389723332 12.2782289998
360 2 0.0 64.8807765314 15.4408511516 12.3307666274
361 1 0.0 71.3083245127 18.559560698 12.0513900664
362 1 0.0 70.0178411854 19.3704750581 12.1002191556
363 1 0.0 68.7343186582 18.5392149694 12.0840252045
364 1 0.0 68.7213533326 17.0206859856 12.0073820772
365 1 0.0 70.0202257443 16.2158856504 11.9416173292
366 1 0.0 71.3078610162 17.0371145486 11.9777137698
367 2 0.0 70.0111187864 20.5079600537 12.1777276086
368 2 0.0 70.0268132828 15.0765161711 11.8966203964
369 4 0.0 72.7104587281 19.0575355135 12.1640060164
370 3 0.0 72.7124695525 16.534888914 12.0408825409
371 1 0.0 73.5431654285 17.7938771471 12.1661075216
372 1 0.0 78.0691511418 17.7608192344 12.3584570476
373 1 0.0 77.3110687763 16.4282045075 12.3392962657
374 1 0.0 75.7857472175 16.4397230472 12.2950410406
375 1 0.0 75.0510242389 17.7844646344 12.2886129073
376 1 0.0 79.4548325998 12.967879882 0.0218803767
377 1 0.0 80.9810051167 12.9564938427 0.0541446609
378 2 0.0 75.2022038732 15.4616726583 12.2528873206
379 2 0.0 78.883494383 13.9542461294 0.0510542122
380 2 0.0 81.5651749866 13.9341012721 0.1024792783
381 4 0.0 67.3577120673 19.0106143279 12.2488079283
382 3 0.0 67.3359304959 16.4223293863 12.0983648864
383 1 0.0 66.5783663769 17.7389723332 12.2782289998
384 2 0.0 77.8807765314 15.4408511516 12.3307666274
385 1 0.0 84.3083245127 18.559560698 12.0513900664
386 1 0.0 83.0178411854 19.3704750581 12.1002191556
387 1 0.0 81.7343186582 18.5392149694 12.0840252045
388 1 0.0 81.7213533326 17.0206859856 12.0073820772
389 1 0.0 83.0202257443 16.2158856504 11.9416173292
390 1 0.0 84.3078610162 17.0371145486 11.9777137698
391 2 0.0 83.0111187864 20.5079600537 12.1777276086
392 2 0.0 83.0268132828 15.0765161711 11.8966203964
393 4 0.0 85.7104587281 19.0575355135 12.1640060164
394 3 0.0 85.7124695525 16.534888914 12.0408825409
395 1 0.0 86.5431654285 17.7938771471 12.1661075216
396 1 0.0 91.0691511418 17.7608192344 12.3584570476
397 1 0.0 90.3110687763 16.4282045075 12.3392962657
398 1 0.0 88.7857472175 16.4397230472 12.2950410406
399 1 0.0 88.0510242389 17.7844646344 12.2886129073
400 1 0.0 92.4548325998 12.967879882 0.0218803767
401 1 0.0 93.9810051167 12.9564938427 0.0541446609
402 2 0.0 88.2022038732 15.4616726583 12.2528873206
403 2 0.0 91.883494383 13.9542461294 0.0510542122
404 2 0.0 94.5651749866 13.9341012721 0.1024792783
405 4 0.0 80.3577120673 19.0106143279 12.2488079283
406 3 0.0 80.3359304959 16.4223293863 12.0983648864
407 1 0.0 79.5783663769 17.7389723332 12.2782289998
408 2 0.0 90.8807765314 15.4408511516 12.3307666274
409 1 0.0 97.3137910902 18.5179334245 12.3570972502
410 1 0.0 96.0178411854 19.3704750581 12.1002191556
411 1 0.0 94.7343186582 18.5392149694 12.0840252045
412 1 0.0 94.7213533326 17.0206859856 12.0073820772
413 1 0.0 96.0202257443 16.2158856504 11.9416173292
414 1 0.0 100.8990589929 10.8305172113 0.0733054428
415 2 0.0 96.0111187864 20.5079600537 12.1777276086
416 2 0.0 96.0268132828 15.0765161711 11.8966203964
417 4 0.0 98.3932576228 19.5688747845 12.2007205468
418 3 0.0 98.6985452719 16.515556391 12.2867586381
419 1 0.0 103.3621873158 11.2648484185 0.6166063212
420 1 0.0 104.0691511418 17.7608192344 12.3584570476
421 1 0.0 103.3110687763 16.4282045075 12.3392962657
422 1 0.0 101.7857472175 16.4397230472 12.2950410406
423 1 0.0 101.0510242389 17.7844646344 12.2886129073
424 1 0.0 105.4548325998 12.967879882 0.0218803767
425 1 0.0 106.9810051167 12.9564938427 0.0541446609
426 2 0.0 101.2022038732 15.4616726583 12.2528873206
427 2 0.0 104.883494383 13.9542461294 0.0510542122
