# LAMMPS data file written by OVITO Basic 3.9.4

4096 atoms
4 atom types

0.0 138.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

258 1 0.0 16.5206733326 17.0206859856 12.0073820772
259 1 0.0 17.8198857443 16.2158856504 11.9416173292
260 1 0.0 19.1077010162 17.0371145486 11.9777137698
261 2 0.0 17.8107387864 20.5079600537 12.1777276086
262 2 0.0 17.8267932828 15.0765161711 11.8966203964
263 4 0.0 20.5100652794 18.8575369759 12.1640060164
264 3 0.0 20.5120914058 16.834769488 12.0408825409
265 1 0.0 21.3429654285 17.7938771471 12.1661075216
266 4 0.0 15.1573986186 18.8106157903 12.2488079283
267 3 0.0 15.1364689886 16.7224444252 12.0983648864
268 1 0.0 14.3780663769 17.7389723332 12.2782289998
269 1 0.0 40.1085645127 18.559560698 12.0513900664
270 1 0.0 38.8175811854 19.3704750581 12.1002191556
271 1 0.0 37.5349986582 18.5392149694 12.0840252045
272 1 0.0 37.5201333326 17.0206859856 12.0073820772
273 1 0.0 38.8207257443 16.2158856504 11.9416173292
274 1 0.0 40.1085410162 17.0371145486 11.9777137698
275 2 0.0 38.8115787864 20.5079600537 12.1777276086
276 2 0.0 38.8276332828 15.0765161711 11.8966203964
277 4 0.0 41.5109052794 18.8575369759 12.1640060164
278 3 0.0 41.5115514058 16.834769488 12.0408825409
279 1 0.0 42.3438054285 17.7938771471 12.1661075216
280 1 0.0 46.8694111418 17.7608192344 12.3584570476
281 1 0.0 46.1116887763 16.4282045075 12.3392962657
282 1 0.0 44.5860672175 16.4397230472 12.2950410406
283 1 0.0 43.8504842389 17.7844646344 12.2886129073
284 1 0.0 48.2547925998 12.967879882 0.0218803767
285 1 0.0 49.7809451167 12.9564938427 0.0541446609
286 2 0.0 44.0025438732 15.4616726583 12.2528873206
287 2 0.0 47.683514383 13.9542461294 0.0510542122
288 2 0.0 50.3653349866 13.9341012721 0.1024792783
289 4 0.0 36.1568586186 18.8106157903 12.2488079283
290 3 0.0 36.1359289886 16.7224444252 12.0983648864
291 1 0.0 35.3789063769 17.7389723332 12.2782289998
292 2 0.0 46.6818965314 15.4408511516 12.3307666274
293 1 0.0 53.3082645127 18.559560698 12.0513900664
294 1 0.0 52.0172811854 19.3704750581 12.1002191556
295 1 0.0 50.7346986582 18.5392149694 12.0840252045
296 1 0.0 50.7212133326 17.0206859856 12.0073820772
297 1 0.0 52.0204257443 16.2158856504 11.9416173292
298 1 0.0 53.3082410162 17.0371145486 11.9777137698
299 2 0.0 52.0112787864 20.5079600537 12.1777276086
300 2 0.0 52.0273332828 15.0765161711 11.8966203964
301 4 0.0 54.7106052794 18.8575369759 12.1640060164
302 3 0.0 54.7126314058 16.834769488 12.0408825409
303 1 0.0 55.5435054285 17.7938771471 12.1661075216
304 1 0.0 60.0691111418 17.7608192344 12.3584570476
305 1 0.0 59.3113887763 16.4282045075 12.3392962657
306 1 0.0 57.7857672175 16.4397230472 12.2950410406
307 1 0.0 57.0501842389 17.7844646344 12.2886129073
308 1 0.0 61.4544925998 12.967879882 0.0218803767
309 1 0.0 62.9806451167 12.9564938427 0.0541446609
310 2 0.0 57.2022438732 15.4616726583 12.2528873206
311 2 0.0 60.883214383 13.9542461294 0.0510542122
312 2 0.0 63.5650349866 13.9341012721 0.1024792783
313 4 0.0 49.3565586186 18.8106157903 12.2488079283
314 3 0.0 49.3356289886 16.7224444252 12.0983648864
315 1 0.0 48.5786063769 17.7389723332 12.2782289998
316 2 0.0 59.7436013243 15.7154095192 12.3307666274
317 1 0.0 66.3078645127 18.559560698 12.0513900664
318 1 0.0 65.0168811854 19.3704750581 12.1002191556
319 1 0.0 63.7342986582 18.5392149694 12.0840252045
320 1 0.0 63.7208133326 17.0206859856 12.0073820772
321 1 0.0 65.0200257443 16.2158856504 11.9416173292
322 1 0.0 66.3078410162 17.0371145486 11.9777137698
323 2 0.0 65.0108787864 20.5079600537 12.1777276086
324 2 0.0 65.0959887919 15.4884709549 11.8966203964
325 4 0.0 67.7102052794 18.8575369759 12.1640060164
326 3 0.0 67.7122314058 16.834769488 12.0408825409
327 1 0.0 68.5431054285 17.7938771471 12.1661075216
328 1 0.0 73.0687111418 17.7608192344 12.3584570476
329 1 0.0 72.3109887763 16.4282045075 12.3392962657
330 1 0.0 70.7867472175 16.4397230472 12.2950410406
331 1 0.0 70.0511642389 17.7844646344 12.2886129073
332 1 0.0 74.4540925998 12.967879882 0.0218803767
333 1 0.0 75.9816251167 12.9564938427 0.0541446609
334 2 0.0 70.4081840242 15.804929234 12.2528873206
335 2 0.0 73.884194383 13.9542461294 0.0510542122
336 2 0.0 76.5660149866 13.9341012721 0.1024792783
337 4 0.0 62.3575386186 18.8106157903 12.2488079283
338 3 0.0 62.3366089886 16.7224444252 12.0983648864
339 1 0.0 61.5782063769 17.7389723332 12.2782289998
340 2 0.0 72.8811965314 15.4408511516 12.3307666274
341 1 0.0 79.3074645127 18.559560698 12.0513900664
342 1 0.0 78.0178611854 19.3704750581 12.1002191556
343 1 0.0 76.7352786582 18.5392149694 12.0840252045
344 1 0.0 76.7204133326 17.0206859856 12.0073820772
345 1 0.0 78.0210057443 16.2158856504 11.9416173292
346 1 0.0 79.3088210162 17.0371145486 11.9777137698
347 2 0.0 78.0118587864 20.5079600537 12.1777276086
